_id,title,currentPrice,shippingCost,calculateShipping,totalPrice,dateQueried,endDate,location,country,bidCount,listingType,bestOffer,buyItNowAvailable,conditionId,conditionDisplayName,timeLeft
272427411944,SONY PLAYSTATION 4 500 GB BLACK CONSOLE WITH MORTAL KOMBAT X GAME,190.51,15.99,false,206.5,2016-10-31T07:30:10.964Z,2016-11-01T01:00:44.000Z,"Columbus,OH,USA",US,53,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":50,""minutes"":28,""hours"":17,""days"":0,""months"":0,""years"":0}"
401215833398,VERY GOOD USED SONY PLAYSTATION 4 500GB BLACK CUH-1115A VIDEO GAME SYSTEM G124,219.95,25,false,244.95,2016-10-31T07:30:12.581Z,2016-10-31T19:33:59.000Z,"Astoria,NY,USA",US,NaN,FixedPrice,false,false,3000,Used,"{""milliseconds"":0,""seconds"":4,""minutes"":2,""hours"":12,""days"":0,""months"":0,""years"":0}"
361789434730,SONY PLAYSTATION 4 500 GB JET BLACK CONSOLE,190.5,17.99,false,208.49,2016-10-31T07:30:12.584Z,2016-11-01T02:09:51.000Z,"Houston,TX,USA",US,32,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":56,""minutes"":37,""hours"":18,""days"":0,""months"":0,""years"":0}"
322304887989,PS4 PLAYSTATION 4 500 GB CONSOLE UNCHARTED THE NATHAN DRAKE COLLECTION & MORE!,270,-1,true,-1,,2016-10-31T17:06:06.000Z,"Riverview,MI,USA",US,0,Auction,false,false,1000,New,"{""milliseconds"":0,""seconds"":7,""minutes"":34,""hours"":9,""days"":0,""months"":0,""years"":0}"
271349398498,SONY PLAYSTATION 4 PS4 LAUNCH EDITION CONSOLE RARE & BRAND NEW,649.99,0,false,649.99,2016-10-31T07:30:16.800Z,2016-11-01T04:55:30.000Z,"Tucson,AZ,USA",US,NaN,StoreInventory,false,false,1000,New,"{""milliseconds"":0,""seconds"":30,""minutes"":23,""hours"":21,""days"":0,""months"":0,""years"":0}"
131981525612,PLAYSTATION 4,300,15,false,315,2016-10-31T07:30:18.208Z,2016-11-01T00:31:34.000Z,USA,US,NaN,FixedPrice,true,false,3000,Used,"{""milliseconds"":0,""seconds"":33,""minutes"":59,""hours"":16,""days"":0,""months"":0,""years"":0}"
142163502128,VERY GOOD USED SONY PLAYSTATION 4 500GB BLACK CUH-1115A VIDEO GAME SYSTEM G124,219.95,25,false,244.95,2016-10-31T07:30:18.216Z,2016-10-31T20:58:36.000Z,"Astoria,NY,USA",US,NaN,FixedPrice,false,false,3000,Used,"{""milliseconds"":0,""seconds"":35,""minutes"":26,""hours"":13,""days"":0,""months"":0,""years"":0}"
252565416344,SONY PLAYSTATION 4 (LATEST MODEL)- 500 GB BLACK CONSOLE,320,-1,true,-1,,2016-10-31T15:25:12.000Z,"El Paso,TX,USA",US,NaN,FixedPrice,false,false,1500,New other (see details),"{""milliseconds"":0,""seconds"":9,""minutes"":53,""hours"":7,""days"":0,""months"":0,""years"":0}"
122202491721,VERY GOOD USED BLACK SONY PLAYSTATION 4 500GB BLACK CUH-1001A PS4 CONSOLE G21,219.95,0,false,219.95,2016-10-31T07:30:19.709Z,2016-10-31T20:59:44.000Z,"New York,NY,USA",US,NaN,FixedPrice,false,false,3000,Used,"{""milliseconds"":0,""seconds"":41,""minutes"":27,""hours"":13,""days"":0,""months"":0,""years"":0}"
322307751181,SONY PLAYSTATION 4 (LATEST MODEL)- 500 GB BLACK W/ BONUS ACCESSORIES! GIFT CARD!,202,14.99,false,216.99,2016-10-31T07:30:22.832Z,2016-11-01T07:22:21.000Z,"Akron,OH,USA",US,9,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":15,""minutes"":50,""hours"":23,""days"":0,""months"":0,""years"":0}"
