_id,title,currentPrice,shippingCost,calculateShipping,totalPrice,dateQueried,endDate,location,country,bidCount,listingType,bestOffer,buyItNowAvailable,conditionId,conditionDisplayName,timeLeft
182443845732,SONY PLAYSTATION 4 500GB CONSOLE,189,9.2,false,198.2,2017-02-13T07:30:08.718Z,2017-02-14T00:34:21.000Z,"Staten Island,NY,USA",US,NaN,FixedPrice,false,false,3000,Used,"{""milliseconds"":0,""seconds"":50,""minutes"":0,""hours"":17,""days"":0,""months"":0,""years"":0}"
152427342176,"SONY PLAYSTATION 4 PS4 GAMING CONSOLE (500GB HDD) BLACK, #CUH-1215A",185.4,16,false,201.4,2017-02-13T07:30:09.880Z,2017-02-14T04:02:46.000Z,"Appleton,WI,USA",US,5,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":14,""minutes"":29,""hours"":20,""days"":0,""months"":0,""years"":0}"
152427111295,SONY PLAYSTATION 4 LAUNCH EDITION 500GB JET BLACK CONSOLE,180,-1,true,-1,,2017-02-13T23:39:48.000Z,"Charleston,SC,USA",US,0,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":16,""minutes"":6,""hours"":16,""days"":0,""months"":0,""years"":0}"
322412490678,SONY PLAYSTATION 4 PRO - 1TB + WWE 2K16 & PRO EVOLUTION SOCCER - BRAND NEW    ,379.79,-1,true,-1,,2017-02-13T22:54:14.000Z,"Greensboro,NC,USA",US,NaN,FixedPrice,false,false,1000,New,"{""milliseconds"":0,""seconds"":40,""minutes"":20,""hours"":15,""days"":0,""months"":0,""years"":0}"
282354606665,"SONY PLAYSTATION 4 (PS4) 500GB JET BLACK CONSOLE, PLUS GAME",140.5,-1,true,-1,,2017-02-13T19:23:43.000Z,"Frederick,MD,USA",US,36,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":7,""minutes"":50,""hours"":11,""days"":0,""months"":0,""years"":0}"
361899193253,SONY PLAYSTATION 4 - (CUH-1215A) PS4 500 GB CONSOLE + STUFF       (LOT BBB),177.5,0,false,177.5,2017-02-13T07:30:14.181Z,2017-02-13T23:28:35.000Z,"Albertville,AL,USA",US,35,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":59,""minutes"":54,""hours"":15,""days"":0,""months"":0,""years"":0}"
152427286126,SONY PLAYSTATION 4 (CUH-1001A)- 500GB BLACK GAME CONSOLE - N5163,152.5,17.99,false,170.49,2017-02-13T07:30:14.185Z,2017-02-14T03:01:52.000Z,USA,US,62,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":16,""minutes"":28,""hours"":19,""days"":0,""months"":0,""years"":0}"
201809976204,SONY PLAYSTATION 4 BLACK CONSOLE SYSTEM 500 GB,148,20,false,168,2017-02-13T07:30:14.194Z,2017-02-14T04:15:03.000Z,"Zion,IL,USA",US,0,AuctionWithBIN,false,true,3000,Used,"{""milliseconds"":0,""seconds"":27,""minutes"":41,""hours"":20,""days"":0,""months"":0,""years"":0}"
182448756636,SONY PLAYSTATION 4 CALL OF DUTY: BLACK OPS III - STANDARD EDITION 500GB JET...,164.5,-1,true,-1,,2017-02-13T17:49:09.000Z,"Dayton,MN,USA",US,46,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":31,""minutes"":15,""hours"":10,""days"":0,""months"":0,""years"":0}"
162391592107,SONY PLAYSTATION 4 LAUNCH EDITION 500GB JET BLACK CONSOLE,170.5,-1,true,-1,,2017-02-14T03:07:30.000Z,"Eastlake,OH,USA",US,7,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":52,""minutes"":33,""hours"":19,""days"":0,""months"":0,""years"":0}"
112295479426,SONY PLAYSTATION 4 CALL OF DUTY: BLACK OPS III - STANDARD EDITION 500GB ,188,10,false,198,2017-02-13T07:30:17.222Z,2017-02-14T07:10:13.000Z,"Bronx,NY,USA",US,0,Auction,false,false,1500,New other (see details),"{""milliseconds"":0,""seconds"":33,""minutes"":36,""hours"":23,""days"":0,""months"":0,""years"":0}"
282352629950,NEW SEALED PLAYSTATION 4 PS4 STAR WARS BATTLEFRONT 500GB DARTH VADER CONSOLE,649.99,-1,true,-1,,2017-02-14T04:59:45.000Z,"Norwell,MA,USA",US,NaN,FixedPrice,true,false,1000,New,"{""milliseconds"":0,""seconds"":5,""minutes"":26,""hours"":21,""days"":0,""months"":0,""years"":0}"
182447084295,SONY PLAYSTATION 4 CALL OF DUTY: BLACK OPS III - STANDARD EDITION 500GB JET...,350,0,false,350,2017-02-13T07:30:20.739Z,2017-02-14T02:57:44.000Z,"Little Rock,AR,USA",US,0,Auction,false,false,1000,New,"{""milliseconds"":0,""seconds"":1,""minutes"":24,""hours"":19,""days"":0,""months"":0,""years"":0}"
142274544477,GOOD USED BLACK SONY PLAYSTATION 4 PS4 500GB CUH-1115A VIDEO GAME SYSTEM G514,239.95,0,false,239.95,2017-02-13T07:30:22.518Z,2017-02-13T16:16:24.000Z,"Astoria,NY,USA",US,NaN,FixedPrice,false,false,3000,Used,"{""milliseconds"":0,""seconds"":39,""minutes"":42,""hours"":8,""days"":0,""months"":0,""years"":0}"
112294812147,NEW SONY PLAYSTATION 4 STAR WARS BATTLEFRONT 500GB CONSOLE VADER READ BELOW,925,0,false,925,2017-02-13T07:30:22.524Z,2017-02-13T16:44:12.000Z,"Long Island City,NY,USA",US,NaN,FixedPrice,true,false,1000,New,"{""milliseconds"":0,""seconds"":27,""minutes"":10,""hours"":9,""days"":0,""months"":0,""years"":0}"
272555381817,SONY PLAYSTATION 4 PRO 1TB - BLACK CONSOLE (USED),330,-1,true,-1,,2017-02-14T04:15:15.000Z,"Jefferson City,MO,USA",US,0,Auction,false,false,3000,Used,"{""milliseconds"":0,""seconds"":30,""minutes"":41,""hours"":20,""days"":0,""months"":0,""years"":0}"
272548244839,SONY PLAYSTATION 4 CALL OF DUTY: BLACK OPS III - STANDARD EDITION 500GB JET...,300,0,false,300,2017-02-13T07:30:23.736Z,2017-02-13T21:52:58.000Z,"Pittsburgh,PA,USA",US,0,Auction,false,false,2500,Seller refurbished,"{""milliseconds"":0,""seconds"":12,""minutes"":19,""hours"":14,""days"":0,""months"":0,""years"":0}"
