_id,categoryId,categoryName,sellingPrice
112185507879,139971,Video Game Consoles,349.99
122202585486,139971,Video Game Consoles,305
291926308477,139971,Video Game Consoles,200.98000000000002
262695233466,139971,Video Game Consoles,280
142163675662,139971,Video Game Consoles,220
262695805629,139971,Video Game Consoles,250
232120002618,139971,Video Game Consoles,229.99
252610138933,139971,Video Game Consoles,475
262695831809,139971,Video Game Consoles,340
322307337007,139971,Video Game Consoles,170
182326961579,163826,Video Glasses,450
252608423869,139971,Video Game Consoles,379.99
262691548235,139971,Video Game Consoles,325
262695781589,139971,Video Game Consoles,200
142158717742,139971,Video Game Consoles,290
272418638102,139971,Video Game Consoles,280.66
262695105210,139971,Video Game Consoles,340
252592531549,139971,Video Game Consoles,325
332017017408,163826,Video Glasses,429.99
322309073341,163826,Video Glasses,429.99
262695564967,163826,Video Glasses,475
291924231608,139971,Video Game Consoles,310
282236472846,139971,Video Game Consoles,260
192012110097,139971,Video Game Consoles,325.37
391602263485,139971,Video Game Consoles,248.5
112182692269,139971,Video Game Consoles,255
311728630372,139971,Video Game Consoles,324.99
282236735117,139971,Video Game Consoles,475
222297223008,139971,Video Game Consoles,300
282235385034,139971,Video Game Consoles,320
131978307124,139971,Video Game Consoles,225.49
112185532615,139971,Video Game Consoles,230
162221004424,139971,Video Game Consoles,408.99
262695602269,139971,Video Game Consoles,235
262688472059,139971,Video Game Consoles,229
232127905227,139971,Video Game Consoles,520
332014864393,139971,Video Game Consoles,205
182324475578,139971,Video Game Consoles,249
152291864878,139971,Video Game Consoles,202
282225162624,139971,Video Game Consoles,160.5
381830359271,139971,Video Game Consoles,250
351885023936,139971,Video Game Consoles,310
232127497798,139971,Video Game Consoles,217.98000000000002
282235840576,139971,Video Game Consoles,325
112176057856,139971,Video Game Consoles,257.5
232127397040,139971,Video Game Consoles,225
222296985653,139971,Video Game Consoles,215
131980597871,139971,Video Game Consoles,269.68
201696843358,139971,Video Game Consoles,257
112185457698,139971,Video Game Consoles,205
311725227665,139971,Video Game Consoles,233.5
272393797856,139971,Video Game Consoles,261
272429871565,139971,Video Game Consoles,260
282236311681,139971,Video Game Consoles,255
